CountryCode,Country,2010
4,Afghanistan,3599
8,Albania,
12,Algeria,1
16,American Samoa,
20,Andorra,
24,Angola,20353
660,Anguilla,
28,Antigua and Barbuda,
32,Argentina,84
51,Armenia,
533,Aruba,
36,Australia,
40,Austria,
31,Azerbaijan,56
44,Bahamas,
48,Bahrain,
50,Bangladesh,6095
52,Barbados,
112,Belarus,
56,Belgium,
84,Belize,598
204,Benin,29026
60,Bermuda,
64,Bhutan,240
68,Bolivia,999
70,Bosnia and Herzegovina,
72,Botswana,470
76,Brazil,1960
92,British Virgin Islands,
96,Brunei Darussalam,
100,Bulgaria,
854,Burkina Faso,32892
108,Burundi,19432
116,Cambodia,2790
120,Cameroon,28930
124,Canada,
132,Cape Verde,217
136,Cayman Islands,
140,Central African Republic,34521
148,Chad,41613
830,Channel Islands,
152,Chile,
156,China,4
344,"China, Hong Kong Special Administrative Region",
446,"China, Macao Special Administrative Region",
170,Colombia,2205
174,Comoros,23403
178,Congo,33941
184,Cook Islands,
188,Costa Rica,16
384,Cote d'Ivoire,35153
191,Croatia,
192,Cuba,
196,Cyprus,
203,Czech Republic,
180,Democratic Republic of the Congo,27766
208,Denmark,
262,Djibouti,5884
212,Dominica,
214,Dominican Republic,106
218,Ecuador,50
818,Egypt,
222,El Salvador,4
226,Equatorial Guinea,31871
232,Eritrea,1969
233,Estonia,
231,Ethiopia,18686
234,Faeroe Islands,
238,Falkland Islands (Malvinas),
242,Fiji,
246,Finland,
250,France,
254,French Guiana,1236
258,French Polynesia,
266,Gabon,23150
270,Gambia,28573
268,Georgia,0
276,Germany,
288,Ghana,26763
300,Greece,
304,Greenland,
308,Grenada,
312,Guadeloupe,
316,Guam,
320,Guatemala,272
324,Guinea,38479
624,Guinea-Bissau,26991
328,Guyana,9451
332,Haiti,2478
340,Honduras,642
348,Hungary,
352,Iceland,
356,India,3555
360,Indonesia,5830
364,Iran,27
368,Iraq,0
372,Ireland,
376,Israel,
380,Italy,
388,Jamaica,
392,Japan,
400,Jordan,
398,Kazakhstan,
404,Kenya,15225
296,Kiribati,
408,North Korea,423
410,South Korea,258
414,Kuwait,
417,Kyrgyzstan,166
418,Lao People's Democratic Republic,2343
428,Latvia,
422,Lebanon,
426,Lesotho,
430,Liberia,27933
434,Libyan Arab Jamahiriya,
438,Liechtenstein,
440,Lithuania,
442,Luxembourg,
450,Madagascar,5631
454,Malawi,26872
458,Malaysia,1632
462,Maldives,
466,Mali,25195
470,Malta,
584,Marshall Islands,
474,Martinique,
478,Mauritania,23786
480,Mauritius,
175,Mayotte,
484,Mexico,65
583,Micronesia,
492,Monaco,
496,Mongolia,
499,Montenegro,
500,Montserrat,
504,Morocco,
508,Mozambique,31941
104,Myanmar,6556
516,Namibia,189
520,Nauru,
524,Nepal,147
528,Netherlands,
530,Netherlands Antilles,
540,New Caledonia,
554,New Zealand,
558,Nicaragua,87
562,Niger,30160
566,Nigeria,31913
570,Niue,
580,Northern Mariana Islands,
578,Norway,
512,Oman,
586,Pakistan,1800
585,Palau,
591,Panama,35
598,Papua New Guinea,18498
600,Paraguay,27
604,Peru,2609
608,Philippines,145
616,Poland,
620,Portugal,
630,Puerto Rico,
634,Qatar,
498,Republic of Moldova,
638,Reunion,
642,Romania,
643,Russian Federation,
646,Rwanda,5543
659,Saint Kitts and Nevis,
662,Saint Lucia,
670,Saint Vincent and the Grenadines,
882,Samoa,
674,San Marino,
678,Sao Tome and Principe,13005
682,Saudi Arabia,0
686,Senegal,24783
688,Serbia,
690,Seychelles,
694,Sierra Leone,30058
702,Singapore,
703,Slovakia,
705,Slovenia,
90,Solomon Islands,12203
706,Somalia,10507
710,South Africa,497
728,South Sudan,0
724,Spain,
144,Sri Lanka,93
275,State of Palestine,
736,Sudan (former),21244
740,Suriname,966
748,Swaziland,236
752,Sweden,
756,Switzerland,
760,Syrian Arab Republic,
762,Tajikistan,10
764,Thailand,703
807,Macedonia,
626,Timor-Leste,11724
768,Togo,23763
772,Tokelau,
776,Tonga,
780,Trinidad and Tobago,
788,Tunisia,
792,Turkey,128
795,Turkmenistan,
796,Turks and Caicos Islands,
798,Tuvalu,
800,Uganda,30443
804,Ukraine,
784,United Arab Emirates,
826,United Kingdom,
834,Tanzania,26221
840,United States,
850,United States Virgin Islands,
858,Uruguay,
860,Uzbekistan,13
548,Vanuatu,10783
862,Venezuela,1899
704,Viet Nam,104
732,Western Sahara,
887,Yemen,4502
894,Zambia,25242
716,Zimbabwe,27376
