CountryCode,Country,2010
4,Afghanistan,0
8,Albania,
12,Algeria,0
16,American Samoa,
20,Andorra,
24,Angola,51
660,Anguilla,
28,Antigua and Barbuda,
32,Argentina,0
51,Armenia,0
533,Aruba,
36,Australia,
40,Austria,
31,Azerbaijan,0
44,Bahamas,
48,Bahrain,
50,Bangladesh,8
52,Barbados,
112,Belarus,
56,Belgium,
84,Belize,0
204,Benin,97
60,Bermuda,
64,Bhutan,0
68,Bolivia,0
70,Bosnia and Herzegovina,
72,Botswana,1
76,Brazil,0
92,British Virgin Islands,
96,Brunei Darussalam,
100,Bulgaria,
854,Burkina Faso,184
108,Burundi,16
116,Cambodia,2
120,Cameroon,80
124,Canada,
132,Cape Verde,1
136,Cayman Islands,
140,Central African Republic,148
148,Chad,179
830,Channel Islands,
152,Chile,
156,China,0
344,"China, Hong Kong Special Administrative Region",
446,"China, Macao Special Administrative Region",
170,Colombia,1
174,Comoros,30
178,Congo,79
184,Cook Islands,
188,Costa Rica,0
384,Cote d'Ivoire,106
191,Croatia,
192,Cuba,
196,Cyprus,
203,Czech Republic,
180,Democratic Republic of the Congo,114
208,Denmark,
262,Djibouti,6
212,Dominica,
214,Dominican Republic,0
218,Ecuador,0
818,Egypt,
222,El Salvador,0
226,Equatorial Guinea,77
232,Eritrea,3
233,Estonia,
231,Ethiopia,7
234,Faeroe Islands,
238,Falkland Islands (Malvinas),
242,Fiji,
246,Finland,
250,France,
254,French Guiana,0
258,French Polynesia,
266,Gabon,29
270,Gambia,75
268,Georgia,0
276,Germany,
288,Ghana,43
300,Greece,
304,Greenland,
308,Grenada,
312,Guadeloupe,
316,Guam,
320,Guatemala,0
324,Guinea,134
624,Guinea-Bissau,104
328,Guyana,5
332,Haiti,2
340,Honduras,0
348,Hungary,
352,Iceland,
356,India,1
360,Indonesia,2
364,Iran,0
368,Iraq,0
372,Ireland,
376,Israel,
380,Italy,
388,Jamaica,
392,Japan,
400,Jordan,
398,Kazakhstan,
404,Kenya,6
296,Kiribati,
408,"Korea, Democratic People's Republic of",0
410,"Korea, Republic of",0
414,Kuwait,
417,Kyrgyzstan,0
418,Lao People's Democratic Republic,2
428,Latvia,
422,Lebanon,
426,Lesotho,
430,Liberia,82
434,Libyan Arab Jamahiriya,
438,Liechtenstein,
440,Lithuania,
442,Luxembourg,
450,Madagascar,20
454,Malawi,43
458,Malaysia,0
462,Maldives,
466,Mali,136
470,Malta,
584,Marshall Islands,
474,Martinique,
478,Mauritania,19
480,Mauritius,
175,Mayotte,
484,Mexico,0
583,Micronesia,
492,Monaco,
496,Mongolia,
499,Montenegro,
500,Montserrat,
504,Morocco,
508,Mozambique,96
104,Myanmar,3
516,Namibia,0
520,Nauru,
524,Nepal,0
528,Netherlands,
530,Netherlands Antilles,
540,New Caledonia,
554,New Zealand,
558,Nicaragua,0
562,Niger,113
566,Nigeria,125
570,Niue,
580,Northern Mariana Islands,
578,Norway,
512,Oman,0
586,Pakistan,1
585,Palau,
591,Panama,0
598,Papua New Guinea,20
600,Paraguay,0
604,Peru,0
608,Philippines,0
616,Poland,
620,Portugal,
630,Puerto Rico,
634,Qatar,
498,Republic of Moldova,
638,Reunion,
642,Romania,
643,Russian Federation,0
646,Rwanda,3
659,Saint Kitts and Nevis,
662,Saint Lucia,
670,Saint Vincent and the Grenadines,
882,Samoa,
674,San Marino,
678,Sao Tome and Principe,10
682,Saudi Arabia,0
686,Senegal,41
688,Serbia,
690,Seychelles,
694,Sierra Leone,170
702,Singapore,
703,Slovakia,
705,Slovenia,
90,Solomon Islands,8
706,Somalia,44
710,South Africa,1
728,South Sudan,0
724,Spain,
144,Sri Lanka,0
275,State of Palestine,
736,Sudan (former),9
740,Suriname,1
748,Swaziland,0
752,Sweden,
756,Switzerland,
760,Syrian Arab Republic,0
762,Tajikistan,0
764,Thailand,0
807,Macedonia,
626,Timor-Leste,10
768,Togo,57
772,Tokelau,
776,Tonga,
780,Trinidad and Tobago,
788,Tunisia,
792,Turkey,0
795,Turkmenistan,0
796,Turks and Caicos Islands,
798,Tuvalu,
800,Uganda,49
804,Ukraine,
784,United Arab Emirates,
826,United Kingdom,
834,Tanzania,31
840,United States,
850,United States Virgin Islands,
858,Uruguay,
860,Uzbekistan,0
548,Vanuatu,5
862,Venezuela,0
704,Viet Nam,0
732,Western Sahara,
887,Yemen,5
894,Zambia,58
716,Zimbabwe,37
